Type;Year;URL;Contact;Address;Phone;Fax;Contact2
Insurance & financial services;2002;http://www.sunflowerbank.com;Sunflower Bank, N.A.;Mr. Glynn Sheridan,Ms. Karen McGrath,Amanda Diercks,Ms. Sara Dawson;4831 Quail Crest Pl.,Lawrence, KS  66049;(785) 312-7274;Fax (785) 312-7213;Mr. Glynn Sheridan,Ms. Karen McGrath,Amanda Diercks,Ms. Sara Dawson
Education assessments & learning;2009;http://www.caltesting.org;Computerized Assessments & Learning;Ms. Kelly Wagner;1202 E. 23rd St., Ste. D,Lawrence, KS  66046;(785) 856-3850;Fax (785) 856-3852;Ms. Kelly Wagner
Education assessments & learning;2013;http://www.kuic.ku.edu;KU Innovation & Collaboration;Ms. Julie Goonewardene,Ms. Julie Nagel;2385 Irving Hill Rd.,Youngberg Hall,Lawrence, KS  66045-;(785) 864-6457;Fax (785) 864-5272;Ms. Julie Goonewardene,Ms. Julie Nagel
Wholesalers;2012;http://www.samsclub.com;Sams Club;Ms. Nancy Bishop,Ms. Karen Warmund;10510 Parallel Pkwy.,Kansas City, KS  66109;(913) 693-0977;Fax (913) 299-9224;Ms. Nancy Bishop,Ms. Karen Warmund
Real estate auctions;1976;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Mr. Patrick J. Flavin;1501 Kasold Dr.,Lawrence, KS  66047;(785) 865-8133;Fax (785) 841-7816;Mr. Patrick J. Flavin
Lawn maintenance Landscaping & irrigation;1987;http://www.lawrencelandscape.com;Lawrence Landscape;Mr. Frank Male,Mr. Chas Benton;600 Lincoln St.,Lawrence, KS  66044;(785) 843-4370;Fax (785) 843-6524;Mr. Frank Male,Mr. Chas Benton
Lawn maintenance Landscaping & irrigation;1985;http://www.willowridgelandscape.com;Willowridge Landscape, Inc.;Mr. Ronald W. Baker,Ms. Kathy Baker;1453 E. 800 Rd.,Lawrence, KS  66049;(785) 842-7022;Fax (785) 842-1026;Mr. Ronald W. Baker,Ms. Kathy Baker
Theaters Video rental;1986;http://www.libertyhall.net;Liberty Hall, Inc.;Ms. Susan Millstein,Mr. Dean Edington;642 Massachusetts St.,Lawrence, KS  66044;(785) 749-1972;Fax (785) 749-2662;Ms. Susan Millstein,Mr. Dean Edington
Bicycles Sales & service;1973;http://www.sunfloweroutdoorandbike.com;Sunflower Outdoor and Bike Shop;Mr. Dan Hughes;802-804 Massachusetts St.,Lawrence, KS  66044;(785) 843-5000;Fax (785) 843-6884;Mr. Dan Hughes
Advertising Specialties;2012;http://www.bixy.com;Bixy;Mr. Kyle W. Johnson,Mr. Ryan Luckie;826 N. Fieldstone Dr.,Lawrence, KS  66044;(785) 766-2881;Mr. Kyle W. Johnson,Mr. Ryan Luckie
Advertising Specialties;1987;http://www.cherylwonnell.com;Creative Advertising, Inc.;Ms. Cheryl Wonnell;805 Murrow Ct.,Lawrence, KS  66049;(785) 843-2200;Fax (785) 749-7474;Ms. Cheryl Wonnell
Advertising Specialties;1988;http://www.egrandstand.com;Grandstand Sportswear & Glassware;Mr. Chris Piper;3840 Greenway Cir.,Lawrence, KS  66046;(785) 843-8888;Fax (785) 843-3777;Mr. Chris Piper
Advertising Specialties;1993;http://www.minutemanlawrence.com;Minuteman Press;Ms. Deanna Bisel;501 Gateway Dr., Ste. B,Lawrence, KS  66049;(785) 842-2656;Fax (785) 843-9027;Ms. Deanna Bisel
Advertising Specialties;2008;http://www.sendoutcards.com/30295;Send Out Cards;Wendi Braden;1765 E. 1338 Rd.,Lawrence, KS  66044;(785) 842-2273;Wendi Braden
Advertising Specialties;2009;http://www.snappromotions.com;Snap Promotions;Kristin Eldridge;2401 Oxford Rd.,Lawrence, KS  66049;(785) 856-7627;Fax (785) 856-7628;Kristin Eldridge
Mailing services;1993;http://www.minutemanlawrence.com;Minuteman Press;Ms. Deanna Bisel;501 Gateway Dr., Ste. B,Lawrence, KS  66049;(785) 842-2656;Fax (785) 843-9027;Ms. Deanna Bisel
Automobile dealers New cars;2013;http://www.advantagefordottawa.com;Advantage Ford;Mr. Rick Nunez;402 N. Main St.,Ottawa, KS  66067;(785) 242-5100;Fax (785) 242-6702;Mr. Rick Nunez
Automobile dealers New cars;2009;http://www.briggsauto.com;Briggs Auto Group;Mr. Russell K. Briggs,Mr. Tony Sanders,Mr. Steve Cain,Kory Suppes,Mr. Jeff Peine,Mr. Ed Carmona,Ms. Debbie Coomes;2101 W. 29th Terr.,Lawrence, KS  66047;(785) 856-8889;Fax (785) 856-7091;Mr. Russell K. Briggs,Mr. Tony Sanders,Mr. Steve Cain,Kory Suppes,Mr. Jeff Peine,Mr. Ed Carmona,Ms. Debbie Coomes
Automobile dealers New cars;1994;http://www.crownautomotive.com;Crown Toyota/Scion/Volkswagen, Inc.;Mr. Miles Schnaer,Ms. Connie Beebe;3400 S. Iowa St.,P.O. Box 3386,Lawrence, KS  66046;(785) 843-7700;Fax (785) 865-5654;Mr. Miles Schnaer,Ms. Connie Beebe
Automobile dealers New cars;1976;http://www.dalewilleyauto.com;Dale Willey Automotive;Mr. Greg Maurer;2840 Iowa St.,P.O. Box 4600,Lawrence, KS  66046;(785) 843-5200;Fax (785) 843-4903;Mr. Greg Maurer
Automobile dealers New cars;1984;http://www.jackellenahonda.com;Jack Ellena Honda;Mr. John Ellena;2112 W. 29th Terr.,Lawrence, KS  66047;(785) 843-0550;Fax (785) 843-3680;Mr. John Ellena
Automobile dealers New cars;1978;http://www.lairdnollerlawrence.com;Laird Noller Automotive, Inc.;Ms. Becky Taylor,Mr. Bill Egan,Mr. Dennis Trotter,Mr. Dan Schmidt;935 W. 23rd St.,P.O. Box 38,Lawrence, KS  66044;(785) 843-3500;Fax (785) 843-4056;Ms. Becky Taylor,Mr. Bill Egan,Mr. Dennis Trotter,Mr. Dan Schmidt
Automobile dealers New cars;1997;http://www.lairdnollerlawrence.com;Laird Noller Hyundai;Mr. Bill Egan;2829 Iowa St.,Lawrence, KS  66046;(785) 838-2327;Fax (785) 841-0023;Mr. Bill Egan
Automobile dealers New cars;2011;http://www.lawrencekia.com;Lawrence Kia;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman;1225 E 23rd St.,Lawrence, KS  66046;(785) 856-8700;Fax (785) 856-8701;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman
Swimming pool installation;2010;http://midwestcustompools.com;Midwest Custom Pools;Mr. Bryan Handy;600 Lincoln St.,Lawrence, KS  66044;(785) 843-9119;Fax (785) 843-6524;Mr. Bryan Handy
Welding services;2009;http://www.bogardbodyandwelding.com;Bogard Body and Welding;Mr. Freddy M. Bogard;17734 K16 Hwy.,McLouth, KS  66054;(913) 796-6523;Mr. Freddy M. Bogard
Automobile maintenance;2012;http://www.lawrenceautodiag.com;Lawrence Automotive Diagnostics, Inc.;Mr. Danny Fox;2858 Four Wheel Dr.,Lawrence, KS  66047;(785) 842-8665;Mr. Danny Fox
Automobile maintenance;2011;http://www.lawrencekia.com;Lawrence Kia;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman;1225 E 23rd St.,Lawrence, KS  66046;(785) 856-8700;Fax (785) 856-8701;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman
Consulting firms;2012;http://www.1boc.com;Blue Ocean Consulting;Mr. Blaine Sampson;25501 W. Valley Pkwy., Ste. 100,Olathe, KS  66061;(913) 489-3750;Mr. Blaine Sampson
Consulting firms;2013;;;Mr. Richard Konzem;509 Country Club Terr.,Lawrence, KS  66049;(785) 842-3891;Mr. Richard Konzem
Consulting firms;2014;http://www.crmpoint.net;CRMPoint.net;Woody Davis;13851 W. 63rd St. #101,Shawnee, KS  66216;(913) 553-3644;Woody Davis
Consulting firms;2010;http://www.hinmanandassociates.com;Hinman and Associates - The Human Resource Solution;Ms. Rhandalee Hinman;1212 N. Topeka,Wichita, KS  67214;(316) 263-0050;Ms. Rhandalee Hinman
Consulting firms;2011;http://www.itcscorp.net;IT Consulting Services, Inc.;Mr. Kishor Gohil;1031 Vermont St., Ste. D,Lawrence, KS  66044;(913) 972-2321;Fax (913) 322-8616;Mr. Kishor Gohil
Consulting firms;1982;http://www.mizehouser.com;Mize, Houser & Company, P.A.;Mr. Ken Hite,Ms. Cathy Woods;211 E. 8th St.,P.O. Box 488,Lawrence, KS  66044;(785) 842-8844;Fax (785) 842-9049;Mr. Ken Hite,Ms. Cathy Woods
Consulting firms;2010;http://www.penningtonco.com;Pennington & Company;Mr. Patrick Alderdice,Mr. John Ziegelmeyer;501 Gateway Dr., Ste. A,Lawrence, KS  66049;(785) 843-1661;Fax (785) 749-3766;Mr. Patrick Alderdice,Mr. John Ziegelmeyer
Consulting firms;2013;;;Mr. Riley Scott;4517 Nicklaus Dr.,Lawrence, KS  66047;(785) 766-3885;Mr. Riley Scott
Beds Bedding;2011;http://www.eaglesrestnaturalhome.com;Eagles' Rest Natural Home;Ms. Diane Gercke;642A Locust St.,Lawrence, KS  66044;(785) 766-4771;Ms. Diane Gercke
Distribution Chemicals;2012;http://www.barsol.com;Barton Solvents, Inc.;Mr. Andy Betts;P.O. Box 11207,901 S 66th Terrace,Kansas City, KS  66111;(913) 287-5500;Fax (913) 287-2335;Mr. Andy Betts
Insurance Life & annuities;2012;;;Mr. Garrett Harper;5040 Bob Billings Pkwy., Ste. C2,Lawrence, KS  66049;(785) 856-9119;Fax (785) 371-4860;Mr. Garrett Harper
Automobile dealers Used cars;2013;http://www.advantagefordottawa.com;Advantage Ford;Mr. Rick Nunez;402 N. Main St.,Ottawa, KS  66067;(785) 242-5100;Fax (785) 242-6702;Mr. Rick Nunez
Automobile dealers Used cars;2009;http://www.briggsauto.com;Briggs Auto Group;Mr. Russell K. Briggs,Mr. Tony Sanders,Mr. Steve Cain,Kory Suppes,Mr. Jeff Peine,Mr. Ed Carmona,Ms. Debbie Coomes;2101 W. 29th Terr.,Lawrence, KS  66047;(785) 856-8889;Fax (785) 856-7091;Mr. Russell K. Briggs,Mr. Tony Sanders,Mr. Steve Cain,Kory Suppes,Mr. Jeff Peine,Mr. Ed Carmona,Ms. Debbie Coomes
Automobile dealers Used cars;2011;http://www.lawrencekia.com;Lawrence Kia;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman;1225 E 23rd St.,Lawrence, KS  66046;(785) 856-8700;Fax (785) 856-8701;Chintaka Rajapaksha,Mr. Mark St. Clair,Mr. Brian Waterman
Automobile dealers Used cars;2008;http://premierautoks.com;Premier Auto Co.;Mr. Ryan Blum;2332 Haskell  Ave., Ste. A,Lawrence, KS  66046;(785) 841-6200;Fax (785) 841-6205;Mr. Ryan Blum
Automobile dealers Used cars;2011;http://www.selectionautos.com;The Selection;Mr. Zarif Haque;845 Iowa St.,Lawrence, KS  66044;(785) 856-0280;Fax (785) 856-0214;Mr. Zarif Haque
Landscape Contracting & irrigation;2013;;;Mr. Brad Minnick;P.O. Box 627,Lawrence, KS  66044;(785) 832-2565;Mr. Brad Minnick
Landscape Contracting & irrigation;2013;http://www.wolfeslandscape.com;Wolfe's Landscape & Irrigation, Inc.;Mr. Jason Keller,Ms. Holly Wilhelm;P.O. Box 3797,Lawrence, KS  66046;(785) 232-4422;Fax (785) 232-8799;Mr. Jason Keller,Ms. Holly Wilhelm
Telephone Answering service;1991;http://www.rueschhoffs.com;Rueschhoff Communications, Inc.;Ms. Lisa Rueschhoff;3727 W. 6th St.,Lawrence, KS  66049;(785) 841-0111;Fax (785) 841-7718;Ms. Lisa Rueschhoff
Accounting & tax services;1983;;;Mr. Dean O. Radcliffe, CPA;3311 Clinton Pkwy. Ct.,Lawrence, KS  66047;(785) 842-7269;Fax (785) 842-5876;Mr. Dean O. Radcliffe, CPA
Accounting & tax services;2013;;;Ms. Edwina Glass;1117 Lawrence Ave.,Lawrence, KS  66049;(785) 838-3708;Fax (785) 796-1450;Ms. Edwina Glass
Accounting & tax services;2012;http://www.jalenakaccounting.com;Jalenak Accounting Services;Ms. Linda Jalenak;429 Hutton Cir.,Lawrence, KS  66049;(785) 766-2401;Ms. Linda Jalenak
Accounting & tax services;2013;http://www.kohartaccounting.com;Kohart Accounting, P.A.;Chris Kohart;901 Kentucky St., #306,Lawrence, KS  66044;(785) 856-2882;Fax (785) 856-2284;Chris Kohart
Accounting & tax services;2011;http://www.lanewhitmore.com;LWK Associates, L.L.C.;Ms. Sarah J. Williamson;3300 Mesa Way, Ste. A,Lawrence, KS  66049;(785) 843-0641;Ms. Sarah J. Williamson
Accounting & tax services;1982;http://www.mizehouser.com;Mize, Houser & Company, P.A.;Mr. Ken Hite,Ms. Cathy Woods;211 E. 8th St.,P.O. Box 488,Lawrence, KS  66044;(785) 842-8844;Fax (785) 842-9049;Mr. Ken Hite,Ms. Cathy Woods
Accounting & tax services;2012;http://www.sscpas.com;SS&C Solutions;Mrs. Michele Hammann CPA, CVA,Ms. Kayley Fleming;3320 Clinton Pkwy. Ct., Ste. 220,Lawrence, KS  66047;(785) 838-4484;Fax (785) 838-4040;Mrs. Michele Hammann CPA, CVA,Ms. Kayley Fleming
Computer support;2011;http://www.dtanddata.com;Desktop & DataSolutions;Mr. Curtis Martell;1001 New Hampshire St.,Lawrence, KS  66044;(785) 856-2998;Mr. Curtis Martell
Child care services;2011;http://www.bldgblocksdaycare.com;Building Blocks Daycare Center;Ms. Deana Shenouda;1411 E. 1850 Rd.,Lawrence, KS  66046;(785) 856-3999;Fax (866) 681-5027;Ms. Deana Shenouda
Child care services;2012;http://www.hilltop.ku.edu;Hilltop Child Development Center;Ms. Machaela Whelan;1605 Irving Hill Rd.,Lawrence, KS  66045;(785) 864-4940;Fax (785) 864-5389;Ms. Machaela Whelan
Computer software Development;1999;http://www.arris.com;Arris,Inc.;Ms. Marilyn Fender;1321 Wakarusa Dr.,Lawrence, KS  66049;(785) 843-8101;Fax (785) 843-2103;Ms. Marilyn Fender
Computer software Development;2012;http://www.1boc.com;Blue Ocean Consulting;Mr. Blaine Sampson;25501 W. Valley Pkwy., Ste. 100,Olathe, KS  66061;(913) 489-3750;Mr. Blaine Sampson
Computer software Development;2009;http://www.caltesting.org;Computerized Assessments & Learning;Ms. Kelly Wagner;1202 E. 23rd St., Ste. D,Lawrence, KS  66046;(785) 856-3850;Fax (785) 856-3852;Ms. Kelly Wagner
Computer software Development;2011;http://www.itcscorp.net;IT Consulting Services, Inc.;Mr. Kishor Gohil;1031 Vermont St., Ste. D,Lawrence, KS  66044;(913) 972-2321;Fax (913) 322-8616;Mr. Kishor Gohil
Surveyors;2012;http://www.cfse.com;Cook, Flatt & Strobel Engineers, P.A.;Mr. Aaron J. Gaspers,Mr. Jared Mohrman;850 E. 13th St., Ste. B,Lawrence, KS  66044;(785) 856-9600;Mr. Aaron J. Gaspers,Mr. Jared Mohrman
Surveyors;1980;http://www.landplan-pa.com;Landplan Engineering;Mr. Philip Struble, P.E.,Ms. Linda Bastyr,C.L. Maurer RLA,Mr. Christopher Storm P.E,Mr. Brian Sturm RLA, LEED AP;1310 Wakarusa Dr., Ste. 100,Lawrence, KS  66049;(785) 843-7530;Fax (785) 843-2410;Mr. Philip Struble, P.E.,Ms. Linda Bastyr,C.L. Maurer RLA,Mr. Christopher Storm P.E,Mr. Brian Sturm RLA, LEED AP
Landscape architects Planning;1980;http://www.landplan-pa.com;Landplan Engineering;Mr. Philip Struble, P.E.,Ms. Linda Bastyr,C.L. Maurer RLA,Mr. Christopher Storm P.E,Mr. Brian Sturm RLA, LEED AP;1310 Wakarusa Dr., Ste. 100,Lawrence, KS  66049;(785) 843-7530;Fax (785) 843-2410;Mr. Philip Struble, P.E.,Ms. Linda Bastyr,C.L. Maurer RLA,Mr. Christopher Storm P.E,Mr. Brian Sturm RLA, LEED AP
Automobile renting & leasing;2011;http://www.budgetkc.com;Budget Car and Truck Rental;Mr. Ted Sweeney;711 W. 23rd St.,Lawrence, KS  66046;(785) 331-2722;Fax (785) 331-2726;Mr. Ted Sweeney
Automobile renting & leasing;2008;http://premierautoks.com;Premier Auto Co.;Mr. Ryan Blum;2332 Haskell  Ave., Ste. A,Lawrence, KS  66046;(785) 841-6200;Fax (785) 841-6205;Mr. Ryan Blum
Violin shop Sales, rentals, restoration;2009;http://www.beautifulmusicviolinshop.com;Beautiful Music;Mr. James Hanson;925 Iowa St., Ste. I,Lawrence, KS  66044;(785) 856-8755;Fax (785) 856-8755;Mr. James Hanson
Financial management Private equity;2009;;;Mr. Jeffrey Morrison;1474 E. 732nd Rd.,Lawrence, KS  66049;(785) 218-0300;Mr. Jeffrey Morrison
Real estate Residential & farm;2013;http://www.amyharris.kwrealty.com;AGENT: Amy Harris-Realtor, ABR, GRI;Ms. Amy Harris;545 Columbia Dr.,Lawrence, KS  66049;(785) 760-0722;Fax (785) 856-0928;Ms. Amy Harris
Real estate Residential & farm;2013;;;Ms. Dawn R. Lindner;2222 S.W. 29th St.,Topeka, KS  66611;(785) 213-7910;Fax (785) 267-8660;Ms. Dawn R. Lindner
Real estate Residential & farm;2011;http://www.lindatrotter.yourkwagent.com;Keller Williams Real Estate;Ms. Linda Trotter;406 N. Olivia Ave.,Lawrence, KS  66049;(785) 766-7116;Fax (913) 322-8324;Ms. Linda Trotter
Real estate Residential & farm;2011;http://www.kw.com;Keller Williams Realty Diamond Partners, Inc.;Mr. Larry Kueser;545 Columbia Dr.,Lawrence, KS  66049;(785) 856-2530;Fax (785) 856-0928;Mr. Larry Kueser
Real estate Residential & farm;2012;http://www.lawrencehomesonline.com;McGrew Real Estate, Inc.;Mr. Thomas Howe;1501 Kasold Dr.,Lawrence, KS  66047;(785) 550-1169;Fax (800) 515-4693;Mr. Thomas Howe
Real estate Residential & farm;2012;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Amy LeMert;1501 Kasold Dr.,Lawrence, KS  66049;(785) 979-9911;Ms. Amy LeMert
Real estate Residential & farm;2010;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Erin Mehojah;1501 Kasold Dr.,Lawrence, KS  66049;(785) 843-2055;Fax (785) 843-2466;Ms. Erin Mehojah
Real estate Residential & farm;2012;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Crystal Swearingen;1501 Kasold Dr.,Lawrence, KS  66049;(785) 550-3424;Fax (785) 843-2466;Ms. Crystal Swearingen
Real estate Residential & farm;2013;http://www.askmcgrew.com;Henry and Tasha Wertin;Mr. Henry Wertin;1501 Kasold Dr.,Lawrence, KS  66047;(785) 760-7499;Mr. Henry Wertin
Real estate Residential & farm;1976;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Mr. Patrick J. Flavin;1501 Kasold Dr.,Lawrence, KS  66047;(785) 865-8133;Fax (785) 841-7816;Mr. Patrick J. Flavin
Real estate Residential & farm;1995;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Toni McCalla;1501 Kasold Dr.,Lawrence, KS  66047;(785) 838-8262;Fax (785) 843-2466;Ms. Toni McCalla
Real estate Residential & farm;1988;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Connie Friesen;1501 Kasold Dr.,Lawrence, KS  66047;(785) 838-8208;Fax (785) 842-3951;Ms. Connie Friesen
Real estate Residential & farm;2009;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Pam Bushouse;1501 Kasold Dr.,Lawrence, KS  66047;(785) 550-0716;Ms. Pam Bushouse
Real estate Residential & farm;1998;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Mr. Dennis Snodgrass;1501 Kasold Dr.,Lawrence, KS  66047;(785) 843-2055;Fax (785) 843-2466;Mr. Dennis Snodgrass
Real estate Residential & farm;2009;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Beverly Roelofs;1501 Kasold Dr.,Lawrence, KS  66047;(785) 843-2055;Fax (785) 843-2466;Ms. Beverly Roelofs
Real estate Residential & farm;2007;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Mr. Steve LaRue;1501 Kasold Dr.,Lawrence, KS  66047;(785) 843-2055;Mr. Steve LaRue
Real estate Residential & farm;2009;http://www.askmcgrew.com;McGrew Real Estate, Inc.;Ms. Kimberly Williams;1501 Kasold Dr.,Lawrence, KS  66047;(785) 312-0743;Ms. Kimberly Williams
Real estate Residential & farm;2008;;;Ms. Toni Martin;1037 Vermont St.,Lawrence, KS  66044;(785) 393-3113;Fax (785) 843-5487;Ms. Toni Martin
Real estate Residential & farm;2012;http://www.lawrence.reeceandnichols.com;Reece Nichols Preferred Realty;Ms. Mary A. Deck;3801 W. 6th St.,Lawrence, KS  66049;(785) 760-1205;Fax (785) 856-6202;Ms. Mary A. Deck
Real estate Residential & farm;1979;http://www.stephensre.com;Stephens Real Estate, Inc.;Mr. Pat McCandless, ABR,Ms. Lee Beth Dever,Ms. Mary Lou Roberts, CRS, GRI,Ms. Cindy Folsom,Oliver Minnis,Mr. Randy Barnes,Mr. Chris Earl;2701 W. 6th St.,Lawrence, KS  66049;(785) 841-4500;Fax (785) 841-8437;Mr. Pat McCandless, ABR,Ms. Lee Beth Dever,Ms. Mary Lou Roberts, CRS, GRI,Ms. Cindy Folsom,Oliver Minnis,Mr. Randy Barnes,Mr. Chris Earl
Security/safety products & systems;2005;http://www.lynnelectric.com;Lynn Electric, Inc.;Mr. George Grieb;725 N. 2nd St., Ste. K,Lawrence, KS  66044;(785) 843-5079;Fax (785) 749-5810;Mr. George Grieb
Security/safety products & systems;2004;http://www.protection1.com;Protection 1 Security Solutions;Ms. Joanna Crawford,Mr. Chase Dengel,Ms. Jennifer Girres;1035 N. 3rd St., Ste. 101,Lawrence, KS  66044;(316) 641-8971;Fax (316) 223-8472;Ms. Joanna Crawford,Mr. Chase Dengel,Ms. Jennifer Girres
Security/safety products & systems;1988;http://rueschhoffs.com;Rueschhoff Locksmith & Security;Mr. Warren White,Mr. Don Stowe;3727 W. 6th St.,Lawrence, KS  66049;(785) 843-2182;Fax (785) 843-6878;Mr. Warren White,Mr. Don Stowe
Security/safety products & systems;2013;http://www.streamlineconnections.com;Streamline Connections;Mr. Dave Edwards,Mr. Matthew Delvechio;2116 Delaware St.,Lawrence, KS  66046;(785) 331-3444;Mr. Dave Edwards,Mr. Matthew Delvechio
Identity theft;2013;http://www.hotandsunnie.info;LegalShield/Ralph & Sunnie Planthold, Independent Agents;Mr. Ralph F. Planthold,Ms. Sunnie J. Planthold;2200 W 26th St, Apt C15,Lawrence, KS  66047;(813) 244-9733;Fax (785) 843-9372;Mr. Ralph F. Planthold,Ms. Sunnie J. Planthold
Liquor stores;1997;http://www.corkandbarrel.biz;Cork & Barrel;Jon Smiley;2000 W. 23rd St.,Lawrence, KS  66046;(785) 331-4242;Fax (785) 331-0425;Jon Smiley
Liquor stores;2001;;;Mr. Larry Johnson;901 Mississippi St.,Lawrence, KS  66044;(785) 842-4450;Mr. Larry Johnson
Liquor stores;2005;http://www.massbeverage.com;Mass Beverage;Mr. Brenton Bartz;3131 Nieder Rd.,Lawrence, KS  66047;(785) 856-7055;Fax (785) 856-8373;Mr. Brenton Bartz
Liquor stores;2003;;;Mr. Brian Fadden;3514 Clinton Pkwy., Ste. B,Lawrence, KS  66047;(785) 841-8778;Fax (785) 841-4092;Mr. Brian Fadden
Garage doors Sales & service;1990;http://www.amarr.com;Amarr Garage Doors;Mr. Delbert Phlipot;3800 Greenway Cir.,Lawrence, KS  66046;(785) 865-5500;Fax (785) 865-5600;Mr. Delbert Phlipot
Garage doors Sales & service;2012;http://www.freestatedoors.com;Freestate Doors, Inc.;Mr. Scott Weatherwax;1100 E. 11th St. Ste. B,Lawrence, KS  66046;(785) 842-5203;Fax (785) 856-0090;Mr. Scott Weatherwax
Garage doors Sales & service;2004;http://www.omegadoorandhardware.com;Omega Door and Hardware, Inc.;Mr. Bill Kelly;924 Division St.,Kansas City, KS  66103;(785) 841-3667;Fax (913) 647-3677;Mr. Bill Kelly
Telephone service Wireless/cellular;2009;http://www.att.com;AT&T Wireless;Ms. Vicki Morse;3310 Iowa St., Ste. A,Lawrence, KS  66046;(785) 832-2700;Fax (785) 832-2760;Ms. Vicki Morse
Telephone service Wireless/cellular;1997;;;1700 W. 23rd St.,Lawrence, KS  66046;(785) 842-5200;Fax (785) 842-5215
Telephone service Wireless/cellular;1988;http://www.verizonwireless.com;Verizon Wireless;Mr. Jonathon Price,Mr. Colby Guthrie;2301 Iowa St.,Lawrence, KS  66046;(785) 331-1200;Fax (785) 331-1233;Mr. Jonathon Price,Mr. Colby Guthrie
Lobbyist;2013;;;Mr. Riley Scott;4517 Nicklaus Dr.,Lawrence, KS  66047;(785) 766-3885;Mr. Riley Scott
Landscape supplies;1986;http://www.pinelandscapecenter.com;Pine Family Landscape Center;Ms. Sue Pine,Mr. Brian Pine,Mr. Roger Pine,Kathleen Pine;1783 E. 1500 Rd.,Lawrence, KS  66044;(785) 843-6949;Fax (785) 843-0526;Ms. Sue Pine,Mr. Brian Pine,Mr. Roger Pine,Kathleen Pine
Business management consultants Non profit;1986;http://www.kusbdc.net;KU Small Business Development Center;Mr. William Katz;University of Kansas,646 Vermont St., Ste. 200,Lawrence, KS  66044;(785) 843-8844;Fax (785) 843-8878;Mr. William Katz
Pharmaceutical manufacturer;2013;http://www.merck-animal-health-usa.com;Merck Animal Health;Mr. Scott Bormann,Ms. Kelly Goss,Mr. Ron Bryant,Mr. Mark Williams;35500 W. 91st St.,Desoto, KS  66018;(913) 585-3131;Mr. Scott Bormann,Ms. Kelly Goss,Mr. Ron Bryant,Mr. Mark Williams
Education Supplemental;2014;https://highlandcc.edu;Highland Community College - Perry Center;Ms. Sue Grosdidier,Ms. Randi Hoffmann;203 W. Bridge St,P. O. Box 129,Perry, KS  66073;(785) 597-0127;Fax (785) 597-0128;Ms. Sue Grosdidier,Ms. Randi Hoffmann
Education Supplemental;2002;http://www.douglas.ksu.edu;K-State Research & Extension - Douglas County;Mr. Bill Wood,Jennifer Smith,Susan Johnson,Ms. Kaitlyn Peine;2110 Harper St.,Lawrence, KS  66046;(785) 843-7058;Fax (785) 843-6745;Mr. Bill Wood,Jennifer Smith,Susan Johnson,Ms. Kaitlyn Peine
Education Supplemental;2012;http://www.ottawa.edu;Ottawa University;Ms. Paula Paine;1001 S. Cedar St.,Ottawa, KS  66067;(785) 242-5200;Fax (785) 242-4645;Ms. Paula Paine
Education Supplemental;2006;http://www.edu.com;Sylvan Learning Center;Ms. Tammy Bolen,Jamie Webb;4920 Legends Dr.,Lawrence, KS  66049;(785) 842-6284;Fax (785) 838-3825;Ms. Tammy Bolen,Jamie Webb
Restaurants;2004;http://www.brew23.com;23rd Street Brewery;Mr. Matt Llewellyn;3512 Clinton Pkwy.,Lawrence, KS  66047;(785) 856-2337;Fax (785) 856-2313;Mr. Matt Llewellyn
Restaurants;2009;http://www.715restaurant.com;715 Restaurant;Mr. Matt Hyde;715 Massachusetts,Lawrence, KS  66044;(785) 856-7150;Mr. Matt Hyde
Restaurants;2002;http://www.applebees.com;Applebee's;3900 W. 6th St.,Lawrence, KS  66049;(785) 312-9856;Fax (785) 312-9908
Restaurants;2004;http://www.biggsribs.com;Bigg's Bar and Grill;Mr. Doug Holiday;2429 Iowa St., Ste. H & I,Lawrence, KS  66046;(785) 856-2550;Fax (785) 856-2658;Mr. Doug Holiday
Restaurants;2010;;;Mr. Bob Schumm;719 Massachusetts St.,Lawrence, KS  66044;(785) 842-7337;Fax (785) 842-4025;Mr. Bob Schumm
Restaurants;2002;http://www.buffalowildwings.com;Buffalo Wild Wings Grill & Bar;Mr. Craig Miller,Ms. Christina Quimiro;1012 Massachusetts St.,Lawrence, KS  66044;(785) 838-9464;Fax (785) 838-3450;Mr. Craig Miller,Ms. Christina Quimiro
